hum_symbol	type	mean_norm_genes_log	sd_norm_genes_log
ENO1	cntl	13.3839770979122	2.06310409785073
EPRS1	cntl	11.5674909833139	1.33836209025718
ERAP1	ISG	10.2584932358077	2.58028559969317
FAM120A	cntl	11.6423186978421	1.41935628758973
FMR1	ISG	9.84459624438702	1.96399881597611
GDI2	cntl	12.4405645188051	1.16757381050329
GNAI2	cntl	12.2975987263717	1.5199352097788
GNB1	cntl	12.8356881048115	1.49429155360991
HDGF	cntl	11.2920662190068	1.70892755025498
HNRNPU	cntl	12.9102865920466	1.24103208164267
HSPA5	cntl	12.8880576113404	1.87416484160663
IFI35	ISG	10.5772314660125	1.88555741687376
IFIH1	ISG	8.00004995392824	2.88449045249114
IFIT2	ISG	8.08892325279366	3.10620302465061
IFIT3	ISG	8.81582372648106	3.36900296541742
IL15RA	ISG	8.7894041033513	2.72436946493681
IRF1	ISG	9.89003530267652	2.63794600667153
IRF7	ISG	7.86538311171003	2.8049403766547
KPNB1	cntl	11.6001571165256	1.68050956850946
LAMP1	cntl	12.3850019675599	1.79298061572704
MBTPS1	cntl	10.7085951093373	1.70726654518123
MORC3	ISG	10.6204668129836	1.84380619593501
MOV10	ISG	9.20350382646818	2.5401429681785
MX1	ISG	9.9086074801057	2.75918147697124
MYD88	ISG	8.99341988728418	2.51715297343847
MYL6	cntl	12.7014847028831	1.99961383899354
N4BP1	ISG	10.8569863091008	1.80336521418142
NFE2L1	cntl	11.8419301103873	2.00766443732553
NLRC5	ISG	8.88338096430923	2.59588062288043
NMI	ISG	9.50709582334693	2.20338278804467
NUB1	ISG	10.1268523736482	2.25524977345898
OAS1	ISG	7.9000996907406	3.36491244020902
OAZ1	cntl	12.9203273879234	1.91974207504127
PAFAH1B1	cntl	11.7056967915602	1.78912885105938
PARP12	ISG	9.01016408720174	2.13366684373832
PARP14	ISG	10.1842744717294	2.52533809990848
PARP9	ISG	10.073626962339	2.23258679317491
PCBP2	cntl	12.134706204985	1.14117020257306
PDCD6IP	cntl	11.4068516239587	1.50211714027031
PDIA3	cntl	12.8107733950728	1.53889412524375
PGK1	cntl	12.5604448711216	1.67833493872147
PICALM	cntl	11.341005145605	2.47400777607511
PML	ISG	10.3280909994633	1.91670785475951
PNPT1	ISG	10.930254932912	1.89169944695248
PRKAR1A	cntl	12.4599677255716	1.42513341538708
PSMC3	cntl	11.4083344386742	1.30143453930768
PSMD2	cntl	11.5072701083109	2.13609671867784
RAB1A	cntl	11.5472941024397	1.99500580335899
RAB7A	cntl	12.1149748717218	1.16899888514491
RFX5	ISG	9.73223667199545	2.17589762245936
RHOA	cntl	12.876438596804	1.23762870713665
RICTOR	ISG	10.9128458806038	1.95488601230407
RNF10	cntl	12.7297015611469	1.57921686018045
RNF114	ISG	10.4125564333452	1.51389654755071
RNF213	ISG	10.9630462078358	2.4273520451752
RPL13	cntl	13.1013927933045	1.47317889108111
RPL18A	cntl	12.6823006814605	1.7948922848197
RPL19	cntl	13.3874049845475	1.68213639660742
RPL4	cntl	13.924081663183	1.68321270378024
RPL5	cntl	13.4982409627469	1.66578151942441
RPL8	cntl	13.3041144514075	1.61523440030047
RPLP0	cntl	13.9521172317017	1.93262035234066
RPN1	cntl	11.9745307957586	1.30724787483145
RPS11	cntl	13.4799895005127	1.33116222640438
RPS14	cntl	13.3030882173134	1.29287377349357
RPS3	cntl	13.3308217421399	1.5015828913594
RPS8	cntl	13.4808268077414	1.65631411231888
RSAD2	ISG	8.24248400054077	3.27579657626787
SAT1	ISG	8.25440734535085	3.58628819584955
SEC31A	cntl	11.5330792556652	1.36956968827102
SERBP1	cntl	12.6348043722815	1.20935203067232
SERINC1	cntl	12.0174001673075	1.91425379692804
SF3B1	cntl	12.8557875888643	1.3189355199876
SF3B3	cntl	11.1593788432522	1.35771130258984
SHISA5	ISG	10.5440603150227	1.80684232635911
SLC25A3	cntl	12.9929816563415	1.17932086832039
SNRNP200	cntl	11.6517961810201	1.43574387721409
SOCS1	ISG	5.87769651457836	2.46588297585558
SON	cntl	12.7832102395094	1.33997873960719
SRPRA	cntl	11.4818446324471	1.34261541563459
SSR1	cntl	12.0633525058457	1.41972710430455
STAT1	ISG	11.3446457074793	2.05635719006188
STAT2	ISG	11.0188317524817	2.62513383676729
SUPT6H	cntl	11.3559545950158	1.44073396479655
TAP1	ISG	8.36881460623905	2.8031871524171
TAP2	ISG	4.588478159031	4.31379764641804
TAPBP	ISG	11.0780759703535	2.77044643791528
TAPBPL	ISG	9.17776948631851	2.25747527698586
TENT5A	ISG	8.97428832237521	2.47564946099976
TLR3	ISG	9.71050064223327	2.92163306078844
TM9SF2	cntl	11.6447551180395	1.33939773898168
TMBIM6	cntl	12.920612950502	2.00089328055634
TMED10	cntl	12.5984889507609	1.29114855953401
TMED2	cntl	12.08760104325	1.28233619130373
TNFSF10	ISG	12.3146319174211	2.37961226646617
TRAFD1	ISG	10.8548316390335	2.4133678659963
TRIM21	ISG	10.8776562357289	1.90124955099934
TRIM25	ISG	11.10607703044	2.54750802953673
UBA52	cntl	14.8037764307228	1.05138023590525
UBE2L6	ISG	8.60987678366313	2.39194493410748
USP18	ISG	9.3393091100598	2.7383165864999
USP25	ISG	10.3255138111306	1.85273243801072
VCP	cntl	12.4696850248389	1.85685366685528
WDR1	cntl	11.6348698784283	1.93865788416785
YWHAB	cntl	12.5138100325813	1.41796070018132
ZC3HAV1	ISG	10.8401481756231	2.21397721667446
ZCCHC2	ISG	10.3454777198672	2.38737075482525
ZNFX1	ISG	11.5828028253318	2.09736512419836
